,seller_state,customer_state,total_order,product_weight_g,product_square_cm,price,freight_value,avg_shipping_fee,shipping_fee_1000cm,shipping_fee_100g
0,SP,SP,34928,71352955.0,542350536.0,3471434.7,461847.66,13.222848717361428,0.8515667070346548,0.6472719454996643
1,SP,RJ,9270,20642405.0,151136464.0,1049798.46,189364.75,20.42769687162891,1.2529388672213477,0.9173579822699923
2,SP,MG,8443,17084233.0,128961980.0,913360.84,171231.28,20.280857515101268,1.3277655941696924,1.0022766605910842
3,SP,RS,4064,8369424.0,66091574.0,432808.48,83735.86,20.60429625984252,1.2669672536471897,1.0004972863126542
4,SP,PR,3555,7072312.0,54210373.0,387969.77,72874.96,20.499285513361464,1.3442991805276827,1.030426259474978
5,PR,SP,3321,6430207.0,50043505.0,454015.36,63732.97,19.19089732008431,1.2735512830286366,0.9911495850755659
6,SP,BA,2583,5552175.0,41161435.0,306830.79,62612.69,24.24029810298103,1.521149347684307,1.127714634355005
7,MG,SP,2822,7040731.0,42946956.0,304760.98,60557.88,21.45920623671155,1.4100622172151152,0.860107849596867
8,SP,SC,2663,5423860.0,43089108.0,298417.98,55627.27,20.88894855426211,1.2909821665373067,1.025602983852828
9,SP,PE,1227,2385591.0,18077149.0,154443.89,37989.25,30.961083944580277,2.1015067143607657,1.592446064727776
10,SP,CE,1076,2106494.0,15778054.0,146979.41,33360.46,31.00414498141264,2.114358335951949,1.5836959421674117
11,SP,GO,1619,3202615.0,24395619.0,182711.51,33263.36,20.545620753551574,1.3634972738342896,1.0386312435306773
12,SP,ES,1610,3350553.0,24540362.0,183727.7,33124.75,20.574378881987577,1.3498069017889793,0.9886353088579707
13,SC,SP,1481,3321709.0,23313879.0,197952.77,32613.09,22.020992572586092,1.3988701751433128,0.9818165889907875
14,MG,RJ,1241,3821633.0,17923787.0,144569.52,30768.68,24.793456889605157,1.7166394579449087,0.8051186495406544
15,SP,DF,1539,2752106.0,20977185.0,172864.9,30741.43,19.974938271604938,1.4654697472515974,1.1170147516120383
16,MG,MG,1631,5312770.0,26960114.0,175742.51,27985.63,17.158571428571427,1.0380382664554015,0.5267615575302526
17,RJ,SP,1454,1927145.0,15111647.0,259898.11,27693.79,19.04662310866575,1.8326122890509553,1.4370371715672667
18,PR,RJ,1104,2068658.0,14277282.0,146002.43,24801.67,22.465280797101446,1.7371422655936892,1.1989255836392483
19,SP,PA,750,1616523.0,11914193.0,108555.79,23825.72,31.76762666666667,1.9997762332706883,1.473886854687499
20,PR,MG,919,1778094.0,12703073.0,137782.11,21385.26,23.270141458106636,1.6834713931030703,1.2027069435024245
21,SP,MA,544,1105589.0,8361793.0,66931.83,20915.55,38.44770220588235,2.5013235797633353,1.8918015645958848
22,SP,MT,751,1703230.0,12421225.0,95143.62,19135.37,25.479853528628492,1.5405380709229564,1.1234753967461824
23,RS,SP,731,1430263.0,11468248.0,114978.61,17327.55,23.70389876880985,1.5109151807669314,1.2114939699901346
24,SP,PB,381,900124.0,6580231.0,63590.23,16506.86,43.32509186351706,2.5085532711541587,1.8338428927569979
25,PR,RS,679,1326303.0,10128241.0,83118.89,14379.83,21.177952871870396,1.4197756550224268,1.084203986570188
26,SC,RJ,527,1573022.0,10572148.0,77634.29,13648.85,25.899146110056925,1.2910195733166052,0.8676833509003689
27,SC,MG,474,1375211.0,8437810.0,79556.14,13573.16,28.63535864978903,1.6086117132289066,0.9869874513801882
28,SP,RN,364,638931.0,5071659.0,54397.76,13539.27,37.19579670329671,2.669593913944136,2.119050413894458
29,SP,PI,357,917735.0,5992229.0,49469.37,13456.53,37.69336134453782,2.245663508520786,1.4662762126321869
30,RJ,RJ,1059,1693948.0,12224436.0,179386.69,13083.88,12.354938621340887,1.070305411227152,0.7723897073581951
31,PR,PR,800,1761737.0,13427907.0,102755.68,12633.74,15.792175,0.9408569779340891,0.7171183894077265
32,SP,MS,547,1241118.0,9438126.0,71989.03,11965.5,21.874771480804387,1.2677834561649208,0.9640904410378385
